# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  115       4.192643449287e-10       1.284823808840e-13      -4.332030192372e-12       0.000000000000e+00       8.731149106099e-12      -3.281488930235e-13      -6.411258958932e-15 
  116       4.236710086233e-10       1.299197490921e-13      -4.412427781857e-12       0.000000000000e+00       8.523600750130e-12      -3.128742592758e-13      -6.321877448395e-15 
  117       4.280939924139e-10       1.313099575436e-13      -4.491796526942e-12       0.000000000000e+00       8.322327769746e-12      -2.984391159593e-13      -6.220501069461e-15 
  118       4.325319904768e-10       1.326514864827e-13      -4.570058604601e-12       0.000000000000e+00       8.127156770583e-12      -2.846715765390e-13      -6.113698396025e-15 
  119       4.369835568774e-10       1.339428385381e-13      -4.647135595202e-12       0.000000000000e+00       7.937868109122e-12      -2.713847826998e-13      -6.008505071156e-15 
  120       4.414471016595e-10       1.351825399044e-13      -4.722948503796e-12       0.000000000000e+00       7.754194604077e-12      -2.583765621714e-13      -5.912433729569e-15 
  121       4.459211298536e-10       1.363691755035e-13      -4.797419815724e-12       0.000000000000e+00       7.575863465916e-12      -2.454822960173e-13      -5.831669413520e-15 
  122       4.504049984417e-10       1.375014965999e-13      -4.870479889819e-12       0.000000000000e+00       7.402730377397e-12      -2.327412408162e-13      -5.765396040803e-15 
  123       4.548982407938e-10       1.385783280283e-13      -4.942061354986e-12       0.000000000000e+00       7.234658709593e-12      -2.202490656685e-13      -5.710823323585e-15 
  124       4.594003297468e-10       1.395985367808e-13      -5.012097180155e-12       0.000000000000e+00       7.071476777616e-12      -2.081064704584e-13      -5.664937201177e-15 
  125       4.639106756684e-10       1.405610334646e-13      -5.080520712115e-12       0.000000000000e+00       6.912976903333e-12      -1.964192762174e-13      -5.624495012421e-15 
  126       4.684285227192e-10       1.414647831247e-13      -5.147264748295e-12       0.000000000000e+00       6.758946678548e-12      -1.852776414364e-13      -5.586204063103e-15 
  127       4.729526285827e-10       1.423088359888e-13      -5.212258556887e-12       0.000000000000e+00       6.609268718082e-12      -1.746908796049e-13      -5.547290271687e-15 
  128       4.774815449709e-10       1.430923029401e-13      -5.275430592134e-12       0.000000000000e+00       6.463830385391e-12      -1.646454626064e-13      -5.504984529941e-15 
  129       4.820137135336e-10       1.438143479727e-13      -5.336709459703e-12       0.000000000000e+00       6.322491906453e-12      -1.551251737550e-13      -5.456341608877e-15 
  130       4.865474631598e-10       1.444741897192e-13      -5.396023947283e-12       0.000000000000e+00       6.185085673948e-12      -1.461110416229e-13      -5.398236706423e-15 
  131       4.910811986853e-10       1.450711186876e-13      -5.453304148245e-12       0.000000000000e+00       6.051440252613e-12      -1.375731457018e-13      -5.328636490800e-15 
  132       4.956139957906e-10       1.456045478339e-13      -5.508484904926e-12       0.000000000000e+00       5.921456803841e-12      -1.294451729814e-13      -5.250574798875e-15 
  133       5.001450655921e-10       1.460739703699e-13      -5.561502797087e-12       0.000000000000e+00       5.795039643165e-12      -1.216469735726e-13      -5.168602088080e-15 
  134       5.046735676425e-10       1.464789461655e-13      -5.612295120030e-12       0.000000000000e+00       5.672071760363e-12      -1.140923209252e-13      -5.087554806585e-15 
