# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.220419850692e-02       1.650732858177e+04 
       4.242903568399e-02       1.642359271467e+04 
       4.265719336756e-02       1.633946501691e+04 
       4.288883348035e-02       1.625510433165e+04 
       4.312412913727e-02       1.617097154790e+04 
       4.336326567685e-02       1.608639945197e+04 
       4.360644181215e-02       1.600179999913e+04 
       4.385387091787e-02       1.591681269243e+04 
       4.410578247312e-02       1.583168890440e+04 
       4.436242368268e-02       1.574648753931e+04 
       4.462406130322e-02       1.566130379850e+04 
       4.489098370590e-02       1.557522308391e+04 
       4.516350321223e-02       1.548909909390e+04 
       4.544195874668e-02       1.540275466940e+04 
       4.572671885808e-02       1.531583543032e+04 
       4.601818517142e-02       1.522881769310e+04 
       4.631679634380e-02       1.514094122680e+04 
       4.662303261335e-02       1.505304055285e+04 
       4.693742104777e-02       1.496454924966e+04 
       4.726054162195e-02       1.487534534963e+04 
       4.759303428159e-02       1.478573452827e+04 
       4.793560718482e-02       1.469539677612e+04 
       4.828904635663e-02       1.460419897393e+04 
       4.865422704563e-02       1.451237254404e+04 
       4.903212714079e-02       1.441975121819e+04 
       4.942384309253e-02       1.432616439626e+04 
       4.983060889196e-02       1.423145961621e+04 
       5.025381880186e-02       1.413583328031e+04 
       5.069505471063e-02       1.403873226094e+04 
       5.115611920704e-02       1.394024172369e+04 
       5.163907576234e-02       1.384028227719e+04 
       5.214629777180e-02       1.373861315962e+04 
       5.268052866780e-02       1.363495221999e+04 
       5.324495588525e-02       1.352896594067e+04 
       5.384330214431e-02       1.342043151346e+04 
       5.447993829789e-02       1.330897615162e+04 
       5.516002279679e-02       1.319412693276e+04 
       5.588967346105e-02       1.307524056258e+04 
       5.667617726959e-02       1.295148947845e+04 
       5.752824237061e-02       1.282206693317e+04 
       5.845629164433e-02       1.268565533969e+04 
       5.947278548542e-02       1.254058001667e+04 
       6.059253700148e-02       1.238460619235e+04 
       6.183293614460e-02       1.221476075428e+04 
       6.321391893149e-02       1.202727183731e+04 
       6.475739928012e-02       1.181696308519e+04 
       6.648575414144e-02       1.157747807397e+04 
       6.841893747933e-02       1.130095109250e+04 
       7.057014987377e-02       1.097956751538e+04 
       7.294095996372e-02       1.060670062572e+04 
       7.551806990129e-02       1.017984059002e+04 
       7.827420128445e-02       9.703066702097e+03 
       8.117356127556e-02       9.187875068588e+03 
       8.417927795719e-02       8.652036760272e+03 
       8.725923914211e-02       8.116310891981e+03 
       9.038865669769e-02       7.601073930915e+03 
       9.354994720135e-02       7.123418539277e+03 
       9.673132957116e-02       6.695396478293e+03 
       9.992519882756e-02       6.323693127053e+03 
