# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.986796114995e-02       2.600866195396e+04 
       1.999926163371e-02       2.597261778998e+04 
       2.013062976760e-02       2.593565765118e+04 
       2.026206681084e-02       2.589755796804e+04 
       2.039357405429e-02       2.585807932032e+04 
       2.052515282104e-02       2.581851003880e+04 
       2.065680446711e-02       2.577695379430e+04 
       2.078853038211e-02       2.573425021196e+04 
       2.092033198997e-02       2.569062720918e+04 
       2.105221074966e-02       2.564627374987e+04 
       2.118416815592e-02       2.560160496640e+04 
       2.131620574009e-02       2.555513236091e+04 
       2.144832507085e-02       2.550726059398e+04 
       2.158052775512e-02       2.545943120349e+04 
       2.171281543885e-02       2.540995933882e+04 
       2.184518980793e-02       2.535986553285e+04 
       2.197765258910e-02       2.530954686412e+04 
       2.211020555089e-02       2.525725503034e+04 
       2.224285050456e-02       2.520466921881e+04 
       2.237558930515e-02       2.515124597502e+04 
       2.250842385246e-02       2.509695981216e+04 
       2.264135609211e-02       2.504193249861e+04 
       2.277438801669e-02       2.498606933014e+04 
       2.290752166680e-02       2.492957480297e+04 
       2.304075913231e-02       2.487274227408e+04 
       2.317410255348e-02       2.481414549774e+04 
       2.330755412224e-02       2.475545433534e+04 
       2.344111608345e-02       2.469599158371e+04 
       2.357479073623e-02       2.463626660971e+04 
       2.370858043531e-02       2.457500737381e+04 
       2.384248759242e-02       2.451352094542e+04 
       2.397651467777e-02       2.445184706901e+04 
       2.411066422150e-02       2.438865586692e+04 
       2.424493881525e-02       2.432533160731e+04 
       2.437934111375e-02       2.426141822099e+04 
       2.451387383643e-02       2.419708455919e+04 
       2.464853976916e-02       2.413211905668e+04 
       2.478334176596e-02       2.406603054857e+04 
       2.491828275083e-02       2.400033317396e+04 
       2.505336571962e-02       2.393315228729e+04 
       2.518859374194e-02       2.386601259727e+04 
       2.532396996316e-02       2.379853787900e+04 
       2.545949760647e-02       2.373000050254e+04 
       2.559517997501e-02       2.366131181691e+04 
       2.573102045408e-02       2.359237665220e+04 
       2.586702251340e-02       2.352279379651e+04 
       2.600318970945e-02       2.345270136541e+04 
       2.613952568794e-02       2.338199318269e+04 
       2.627603418630e-02       2.331124856435e+04 
       2.641271903630e-02       2.323999631674e+04 
       2.654958416674e-02       2.316838233909e+04 
       2.668663360623e-02       2.309600822588e+04 
       2.682387148611e-02       2.302381134716e+04 
       2.696130204342e-02       2.295102923320e+04 
       2.709892962400e-02       2.287786356858e+04 
       2.723675868572e-02       2.280431558869e+04 
       2.737479380179e-02       2.273064830850e+04 
       2.751303966425e-02       2.265653064281e+04 
       2.765150108751e-02       2.258222430154e+04 
       2.779018301206e-02       2.250749840965e+04 
       2.792909050837e-02       2.243235213741e+04 
       2.806822878085e-02       2.235706585382e+04 
       2.820760317199e-02       2.228171170272e+04 
       2.834721916671e-02       2.220582638761e+04 
       2.848708239680e-02       2.212977947055e+04 
       2.862719864559e-02       2.205357194695e+04 
       2.876757385276e-02       2.197710568032e+04 
       2.890821411937e-02       2.190046363157e+04 
       2.904912571309e-02       2.182361231096e+04 
       2.919031507365e-02       2.174659375460e+04 
       2.933178881842e-02       2.166952118082e+04 
       2.947355374836e-02       2.159186919927e+04 
       2.961561685412e-02       2.151430709741e+04 
       2.975798532242e-02       2.143650471707e+04 
       2.990066654267e-02       2.135874049307e+04 
       3.004366811391e-02       2.128058441113e+04 
       3.018699785203e-02       2.120239528576e+04 
       3.033066379729e-02       2.112414113330e+04 
       3.047467422217e-02       2.104562594834e+04 
       3.061903763955e-02       2.096729865420e+04 
       3.076376281128e-02       2.088842269968e+04 
       3.090885875711e-02       2.080967053704e+04 
       3.105433476400e-02       2.073081733863e+04 
       3.120020039590e-02       2.065186072252e+04 
       3.134646550395e-02       2.057297868942e+04 
       3.149314023709e-02       2.049391091109e+04 
       3.164023505330e-02       2.041465017137e+04 
       3.178776073123e-02       2.033531807007e+04 
       3.193572838245e-02       2.025607454388e+04 
       3.208414946429e-02       2.017682699559e+04 
       3.223303579323e-02       2.009730370847e+04 
       3.238239955904e-02       2.001802405002e+04 
       3.253225333955e-02       1.993850223937e+04 
       3.268261011615e-02       1.985888564403e+04 
       3.283348329011e-02       1.977948525936e+04 
       3.298488669969e-02       1.969994686947e+04 
       3.313683463811e-02       1.962027517936e+04 
