# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 0.630176 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.384248759499e-02       2.451351813747e+04 
       2.397651468034e-02       2.445184372597e+04 
       2.411066422407e-02       2.438865261800e+04 
       2.424493881783e-02       2.432532862092e+04 
       2.437934111633e-02       2.426141543404e+04 
       2.451387383901e-02       2.419708142939e+04 
       2.464853977174e-02       2.413211568125e+04 
       2.478334176854e-02       2.406602793322e+04 
       2.491828275342e-02       2.400033046356e+04 
       2.505336572221e-02       2.393314923650e+04 
       2.518859374453e-02       2.386600881864e+04 
       2.532396996575e-02       2.379853474613e+04 
       2.545949760907e-02       2.372999754654e+04 
       2.559517997761e-02       2.366130771350e+04 
       2.573102045669e-02       2.359237348048e+04 
       2.586702251600e-02       2.352279062370e+04 
       2.600318971206e-02       2.345269844410e+04 
       2.613952569055e-02       2.338199093293e+04 
       2.627603418892e-02       2.331124605645e+04 
       2.641271903892e-02       2.323999168936e+04 
       2.654958416937e-02       2.316837901618e+04 
       2.668663360886e-02       2.309600598748e+04 
       2.682387148875e-02       2.302380894989e+04 
       2.696130204606e-02       2.295102424220e+04 
       2.709892962664e-02       2.287786055784e+04 
       2.723675868836e-02       2.280424104533e+04 
       2.737479380444e-02       2.273064581164e+04 
       2.751303966691e-02       2.265652970654e+04 
       2.765150109016e-02       2.258222089782e+04 
       2.779018301472e-02       2.250749620482e+04 
       2.792909051104e-02       2.243235314515e+04 
       2.806822878352e-02       2.235706220378e+04 
       2.820760317466e-02       2.228170885467e+04 
       2.834721916939e-02       2.220582369570e+04 
       2.848708239949e-02       2.212977638058e+04 
       2.862719864828e-02       2.205356993484e+04 
       2.876757385545e-02       2.197710390433e+04 
       2.890821412206e-02       2.190046180822e+04 
       2.904912571580e-02       2.182361095678e+04 
       2.919031507636e-02       2.174659179312e+04 
       2.933178882113e-02       2.166951825120e+04 
       2.947355375108e-02       2.159186514005e+04 
       2.961561685685e-02       2.151430478090e+04 
       2.975798532515e-02       2.143650066893e+04 
       2.990066654541e-02       2.135873900192e+04 
       3.004366811665e-02       2.128058156765e+04 
       3.018699785478e-02       2.120239283583e+04 
       3.033066380005e-02       2.112413879738e+04 
       3.047467422493e-02       2.104562150663e+04 
       3.061903764232e-02       2.096729608307e+04 
       3.076376281406e-02       2.088842011405e+04 
       3.090885875989e-02       2.080966643761e+04 
       3.105433476679e-02       2.073081412566e+04 
       3.120020039870e-02       2.065185854119e+04 
       3.134646550675e-02       2.057297660476e+04 
