# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  104       3.720117928518e-10       1.100066967068e-13      -3.399550344795e-12       0.000000000000e+00       9.750668195083e-12       1.409330231106e-12      -7.197499127376e-15 
  105       3.761944603293e-10       1.118549479282e-13      -3.486663716080e-12       0.000000000000e+00       9.507084190894e-12       1.381424706254e-12      -7.091157440379e-15 
  106       3.804007833191e-10       1.136758557229e-13      -3.573562301888e-12       0.000000000000e+00       9.271298042011e-12       1.354269054671e-12      -6.998906699515e-15 
  107       3.846308293535e-10       1.154670052118e-13      -3.660142071248e-12       0.000000000000e+00       9.042971734912e-12       1.327734785587e-12      -6.917247770504e-15 
  108       3.888844177420e-10       1.172260332426e-13      -3.746303133961e-12       0.000000000000e+00       8.821743798152e-12       1.301721042403e-12      -6.842948155137e-15 
  109       3.931606280100e-10       1.189509526390e-13      -3.831973341428e-12       0.000000000000e+00       8.607402108391e-12       1.276290291633e-12      -6.774886761723e-15 
  110       3.974582199476e-10       1.206398698718e-13      -3.917087704966e-12       0.000000000000e+00       8.399729249648e-12       1.251549597936e-12      -6.712435618997e-15 
  111       4.017757774504e-10       1.222908865160e-13      -4.001581200910e-12       0.000000000000e+00       8.198447085105e-12       1.227608983591e-12      -6.654890855679e-15 
  112       4.061119760322e-10       1.239021672436e-13      -4.085388571020e-12       0.000000000000e+00       8.003257895097e-12       1.204535682312e-12      -6.600793601064e-15 
  113       4.104664351980e-10       1.254721518520e-13      -4.168443610815e-12       0.000000000000e+00       7.813977553681e-12       1.182210330793e-12      -6.545799943462e-15 
  114       4.148389636156e-10       1.269993714807e-13      -4.250679865088e-12       0.000000000000e+00       7.630415782387e-12       1.160452636252e-12      -6.484538090525e-15 
  115       4.192292929662e-10       1.284823851756e-13      -4.332030895550e-12       0.000000000000e+00       7.452333306400e-12       1.139065108461e-12      -6.411253201058e-15 
  116       4.236369544850e-10       1.299197550512e-13      -4.412428530071e-12       0.000000000000e+00       7.279480171859e-12       1.117888348069e-12      -6.321872466263e-15 
  117       4.280608976170e-10       1.313099653284e-13      -4.491797289586e-12       0.000000000000e+00       7.111718989034e-12       1.096975430532e-12      -6.220503179034e-15 
  118       4.324998194593e-10       1.326514960609e-13      -4.570059350131e-12       0.000000000000e+00       6.948914102509e-12       1.076438038312e-12      -6.113712586193e-15 
  119       4.369522773790e-10       1.339428496737e-13      -4.647136291151e-12       0.000000000000e+00       6.790892165133e-12       1.056392725981e-12      -6.008534897348e-15 
  120       4.414166851125e-10       1.351825521443e-13      -4.722949116797e-12       0.000000000000e+00       6.637441083153e-12       1.036960995074e-12      -5.912481205012e-15 
  121       4.458915508618e-10       1.363691882284e-13      -4.797420314680e-12       0.000000000000e+00       6.488343865958e-12       1.018242291650e-12      -5.831734618381e-15 
  122       4.503762313838e-10       1.375015092778e-13      -4.870480258949e-12       0.000000000000e+00       6.343486900535e-12       1.000229268822e-12      -5.765475852671e-15 
  123       4.548702589836e-10       1.385783402891e-13      -4.942061598154e-12       0.000000000000e+00       6.202762387544e-12       9.828827285887e-13      -5.710910919154e-15 
  124       4.593731054863e-10       1.395985484281e-13      -5.012097322182e-12       0.000000000000e+00       6.066033805261e-12       9.661576697463e-13      -5.665021823941e-15 
  125       4.638841803031e-10       1.405610444874e-13      -5.080520800112e-12       0.000000000000e+00       5.933135138446e-12       9.500031426235e-13      -5.624561735741e-15 
