# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:kineticity_smg        20:braiding_smg          21:tensor_excess_smg     22:Mpl_running_smg       23:c_s^2                 24:kin (D)            
       2.388439833728e+05       1.318718103533e-08       1.933680248059e+00       1.239553252163e+05       1.416311206659e+04       5.929834433441e-02       3.382788266052e+09       1.115632015781e+00       8.954545913856e+09       3.340110916356e+07       1.824993428245e+08       6.194476283638e+09       1.536492264948e+10       9.321365301988e-01       1.990136134567e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.273303329654e-18       5.683258324136e-18       0.000000000000e+00       0.000000000000e+00       7.482435603429e+00       2.273303329654e-18 
       2.371836499960e+05       1.337201259466e-08       1.947168292083e+00       1.222439734159e+05       1.416309857854e+04       5.971338608457e-02       3.359269579211e+09       1.123408433731e+00       8.708139717647e+09       3.270937564919e+07       1.787198003200e+08       6.024020142898e+09       1.494358903651e+10       9.451671771575e-01       1.990067868397e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.337398983176e-18       5.843497457940e-18       0.000000000000e+00       0.000000000000e+00       7.482314389254e+00       2.337398983176e-18 
       2.355348581660e+05       1.355943169938e-08       1.960750086781e+00       1.205562895082e+05       1.416308499675e+04       6.013133247324e-02       3.335914378988e+09       1.131238826114e+00       8.468513949647e+09       3.203196775096e+07       1.750185311302e+08       5.858254491451e+09       1.453381893998e+10       9.583795281695e-01       1.989999135202e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.403300189936e-18       6.008250474840e-18       0.000000000000e+00       0.000000000000e+00       7.482192350630e+00       2.403300189936e-18 
       2.338975276536e+05       1.374947450975e-08       1.974426279154e+00       1.188919458801e+05       1.416307132056e+04       6.055220382375e-02       3.312721528932e+09       1.139123564351e+00       8.235482031753e+09       3.136858879079e+07       1.713939142445e+08       5.697050260370e+09       1.413529479516e+10       9.717761074351e-01       1.989929931861e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.471057754729e-18       6.177644386822e-18       0.000000000000e+00       0.000000000000e+00       7.482069482117e+00       2.471057754729e-18 
       2.322715787874e+05       1.394217768997e-08       1.988197520608e+00       1.172506194556e+05       1.416305754932e+04       6.097602060155e-02       3.289689900494e+09       1.147063022371e+00       8.008862519941e+09       3.071894823465e+07       1.678443622225e+08       5.540281932323e+09       1.374770776272e+10       9.853594740208e-01       1.989860255236e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.540723909892e-18       6.351809774729e-18       0.000000000000e+00       0.000000000000e+00       7.481945778240e+00       2.540723909892e-18 
       2.306569324497e+05       1.413757841527e-08       2.002064466975e+00       1.156319916326e+05       1.416304368237e+04       6.140280341523e-02       3.266818372970e+09       1.155057576633e+00       7.788478962996e+09       3.008276156535e+07       1.643683204991e+08       5.387827443851e+09       1.337075748891e+10       9.991322223367e-01       1.989790102167e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.612352355348e-18       6.530880888371e-18       0.000000000000e+00       0.000000000000e+00       7.481821233493e+00       2.612352355348e-18 
       2.290535100726e+05       1.433571437893e-08       2.016027778549e+00       1.140357482209e+05       1.416302971906e+04       6.183257301752e-02       3.244105833443e+09       1.163107606138e+00       7.574159765123e+09       2.945975015793e+07       1.609642667035e+08       5.239568090320e+09       1.300415187230e+10       1.013096982620e+00       1.989719469474e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.685998299769e-18       6.714995749423e-18       0.000000000000e+00       0.000000000000e+00       7.481695842333e+00       2.685998299769e-18 
       2.274612336349e+05       1.453662379952e-08       2.030088120113e+00       1.124615793815e+05       1.416301565872e+04       6.226535030625e-02       3.221551176737e+09       1.171213492450e+00       7.365738052340e+09       2.884964115762e+07       1.576307099925e+08       5.095388433501e+09       1.264760683699e+10       1.027256421427e+00       1.989648353957e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.761718502886e-18       6.904296257216e-18       0.000000000000e+00       0.000000000000e+00       7.481569599185e+00       2.761718502886e-18 
       2.258800256571e+05       1.474034542816e-08       2.044246160967e+00       1.109091795659e+05       1.416300150068e+04       6.270115632544e-02       3.199153305356e+09       1.179375619709e+00       7.163051542547e+09       2.825216736035e+07       1.543661903975e+08       4.955176211686e+09       1.230084611199e+10       1.041613242128e+00       1.989576752398e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.839571318992e-18       7.098928297481e-18       0.000000000000e+00       0.000000000000e+00       7.481442498437e+00       2.839571318992e-18 
       2.243098091988e+05       1.494691855593e-08       2.058502574962e+00       1.093782474569e+05       1.416298724426e+04       6.314001226625e-02       3.176911129432e+09       1.187594374650e+00       6.965942419175e+09       2.766706709571e+07       1.511692781854e+08       4.818822252282e+09       1.196360101674e+10       1.056170185413e+00       1.989504661556e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       2.919616741655e-18       7.299041854138e-18       0.000000000000e+00       0.000000000000e+00       7.481314534446e+00       2.919616741655e-18 
       2.227505078541e+05       1.515638302133e-08       2.072858040521e+00       1.078684859097e+05       1.416297288880e+04       6.358193946806e-02       3.154823566676e+09       1.195870146619e+00       6.774257208303e+09       2.709408411240e+07       1.480385732321e+08       4.686220386806e+09       1.163561025245e+10       1.070930029800e+00       1.989432078170e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.001916449684e-18       7.504791124210e-18       0.000000000000e+00       0.000000000000e+00       7.481185701532e+00       3.001916449684e-18 
       2.212020457484e+05       1.536877921793e-08       2.087313240683e+00       1.063796018946e+05       1.416295843360e+04       6.402695941947e-02       3.132889542319e+09       1.204203327590e+00       6.587846659164e+09       2.653296746594e+07       1.449727044095e+08       4.557267368220e+09       1.131661969926e+10       1.085895592154e+00       1.989358998960e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.086533854384e-18       7.716334635959e-18       0.000000000000e+00       0.000000000000e+00       7.481055993982e+00       3.086533854384e-18 
       2.196643475345e+05       1.558414810201e-08       2.101868863121e+00       1.049113064397e+05       1.416294387797e+04       6.447509375938e-02       3.111107989067e+09       1.212594312181e+00       6.406565627939e+09       2.598347140882e+07       1.419703289848e+08       4.431862790545e+09       1.100638221888e+10       1.101069728213e+00       1.989285420622e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.173534148127e-18       7.933835370319e-18       0.000000000000e+00       0.000000000000e+00       7.480925406046e+00       3.173534148127e-18 
       2.181373383890e+05       1.580253120043e-08       2.116525600179e+00       1.034633145745e+05       1.416292922124e+04       6.492636427798e-02       3.089477847041e+09       1.221043497675e+00       6.230272964740e+09       2.544535528284e+07       1.390301320329e+08       4.309909010680e+09       1.070465746274e+10       1.116455333116e+00       1.989211339835e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.262984354291e-18       8.157460885727e-18       0.000000000000e+00       0.000000000000e+00       7.480793931939e+00       3.262984354291e-18 
       2.166209440084e+05       1.602397061848e-08       2.131284148896e+00       1.020353452749e+05       1.416291446269e+04       6.538079291789e-02       3.067998063733e+09       1.229551284030e+00       6.058831403714e+09       2.491838341374e+07       1.361508258599e+08       4.191311072379e+09       1.041121168537e+10       1.132055341944e+00       1.989136753255e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.354953378582e-18       8.387383446455e-18       0.000000000000e+00       0.000000000000e+00       7.480661565842e+00       3.354953378582e-18 
       2.151150906061e+05       1.624850904796e-08       2.146145211051e+00       1.006271214083e+05       1.416289960163e+04       6.583840177515e-02       3.046667593949e+09       1.238118073906e+00       5.892107456163e+09       2.440232500794e+07       1.333311494397e+08       4.075976632313e+09       1.012581756292e+10       1.147872730265e+00       1.989061657517e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.449512061806e-18       8.623780154515e-18       0.000000000000e+00       0.000000000000e+00       7.480528301901e+00       3.449512061806e-18 
       2.136197049081e+05       1.647618977526e-08       2.161109493176e+00       9.923836967977e+04       1.416288463734e+04       6.629921310032e-02       3.025485399762e+09       1.246744272674e+00       5.729971306611e+09       2.389695405152e+07       1.305698678614e+08       3.963815888174e+09       9.848254016698e+09       1.163910514688e+00       1.988986049235e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.546733234107e-18       8.866833085268e-18       0.000000000000e+00       0.000000000000e+00       7.480394134223e+00       3.546733234107e-18 
       2.121347141498e+05       1.670705668967e-08       2.176177706602e+00       9.786882057876e+04       1.416286956913e+04       6.676324929958e-02       3.004450450458e+09       1.255430288439e+00       5.572296711724e+09       2.340204921121e+07       1.278657717885e+08       3.854741508753e+09       9.578306041477e+09       1.180171753423e+00       1.988909925003e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.646691770726e-18       9.116729426815e-18       0.000000000000e+00       0.000000000000e+00       7.480259056883e+00       3.646691770726e-18 
       2.106600460726e+05       1.694115429168e-08       2.191350567482e+00       9.651820832686e+04       1.416285439627e+04       6.723053293578e-02       2.983561722492e+09       1.264176532052e+00       5.418960902021e+09       2.291739373743e+07       1.252176769295e+08       3.748668565939e+09       9.315764538627e+09       1.196659546850e+00       1.988833281391e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.749464649318e-18       9.373661623294e-18       0.000000000000e+00       0.000000000000e+00       7.480123063917e+00       3.749464649318e-18 
       2.091956289199e+05       1.717852770149e-08       2.206628796823e+00       9.518627082602e+04       1.416283911804e+04       6.770108672957e-02       2.962818199429e+09       1.272983417136e+00       5.269844486276e+09       2.244277536941e+07       1.226244235190e+08       3.645514468600e+09       9.060426153764e+09       1.213377038095e+00       1.988756114951e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.855131008870e-18       9.637827522174e-18       0.000000000000e+00       0.000000000000e+00       7.479986149327e+00       3.855131008870e-18 
       2.077413914342e+05       1.741922266759e-08       2.222013120527e+00       9.387274960757e+04       1.416282373372e+04       6.817493356046e-02       2.942218871903e+09       1.281851360096e+00       5.124831358566e+09       2.197798624221e+07       1.200848758096e+08       3.545198898267e+09       8.812093118886e+09       1.230327413611e+00       1.988678422209e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       3.963772210270e-18       9.909430525675e-18       0.000000000000e+00       0.000000000000e+00       7.479848307076e+00       3.963772210270e-18 
       2.062972628531e+05       1.766328557546e-08       2.237504269408e+00       9.257738978198e+04       1.416280824257e+04       6.865209646799e-02       2.921762737563e+09       1.290780780143e+00       4.983808607866e+09       2.152282279567e+07       1.175979215751e+08       3.447643746608e+09       8.570573098844e+09       1.247513903776e+00       1.988600199674e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       4.075471898567e-18       1.018867974642e-17       0.000000000000e+00       0.000000000000e+00       7.479709531092e+00       4.075471898567e-18 
       2.048631729062e+05       1.791076345644e-08       2.253102979237e+00       9.129993998926e+04       1.416279264386e+04       6.913259865278e-02       2.901448801026e+09       1.299772099306e+00       4.846666430133e+09       2.107708568528e+07       1.151624716228e+08       3.352773054601e+09       8.335679042042e+09       1.264939783484e+00       1.988521443829e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       4.190316066967e-18       1.047579016742e-17       0.000000000000e+00       0.000000000000e+00       7.479569815268e+00       4.190316066967e-18 
       2.034390518116e+05       1.816170399664e-08       2.268809990768e+00       9.004015235008e+04       1.416277693685e+04       6.961646347772e-02       2.881276073828e+09       1.308825742456e+00       4.713298042815e+09       2.064057969486e+07       1.127774593168e+08       3.260512953399e+09       8.107229035226e+09       1.282608372759e+00       1.988442151137e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       4.308393122630e-18       1.077098280657e-17       0.000000000000e+00       0.000000000000e+00       7.479429153456e+00       4.308393122630e-18 
       2.020248302724e+05       1.841615554600e-08       2.284626049777e+00       8.879778241758e+04       1.416276112079e+04       7.010371446903e-02       2.861243574377e+09       1.317942137321e+00       4.583599601706e+09       2.021311365110e+07       1.104418401107e+08       3.170791606812e+09       7.885046162280e+09       1.300523037369e+00       1.988362318040e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       4.429793954288e-18       1.107448488572e-17       0.000000000000e+00       0.000000000000e+00       7.479287539473e+00       4.429793954288e-18 
       2.006204394736e+05       1.867416712757e-08       2.300551907083e+00       8.757258912980e+04       1.416274519493e+04       7.059437531748e-02       2.841350327904e+09       1.327121714506e+00       4.457470120094e+09       1.979450033976e+07       1.081545910903e+08       3.083539155372e+09       7.668958366896e+09       1.318687189449e+00       1.988281940955e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       4.554612001771e-18       1.138653000443e-17       0.000000000000e+00       0.000000000000e+00       7.479144967099e+00       4.554612001771e-18 
       1.992258110782e+05       1.893578844675e-08       2.316588318594e+00       8.636433476279e+04       1.416272915852e+04       7.108846987949e-02       2.821595366415e+09       1.336364907511e+00       4.334811390127e+09       1.938455642378e+07       1.059147105254e+08       2.998687661944e+09       7.458798319020e+09       1.337104288134e+00       1.988201016279e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       4.682943327463e-18       1.170735831866e-17       0.000000000000e+00       0.000000000000e+00       7.479001430076e+00       4.682943327463e-18 
       1.978408772245e+05       1.920106990079e-08       2.332736045331e+00       8.517278488444e+04       1.416271301079e+04       7.158602217830e-02       2.801977728647e+09       1.345672152747e+00       4.215527906351e+09       1.898310236289e+07       1.037212174312e+08       2.916171058825e+09       7.254403284970e+09       1.355777840199e+00       1.988119540386e+00       3.492912981895e-08      -3.492912981895e-08       1.000000000000e+00       4.814886689759e-18       1.203721672440e-17       0.000000000000e+00       0.000000000000e+00       7.478856922109e+00       4.814886689759e-18 
