# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   84       2.941409955887e-10       6.997922697051e-14      -1.711300712226e-12       0.000000000000e+00       1.687538830201e-11       2.208604294191e-12      -1.087405599104e-14 
   85       2.977490665620e-10       7.200360260764e-14      -1.789047539242e-12       0.000000000000e+00       1.638338852390e-11       2.154671949390e-12      -1.064462328377e-14 
   86       3.013852286622e-10       7.403401724355e-14      -1.867613160413e-12       0.000000000000e+00       1.590967058837e-11       2.103261727311e-12      -1.062351407104e-14 
   87       3.050510161398e-10       7.606903373122e-14      -1.947030416218e-12       0.000000000000e+00       1.545354194972e-11       2.053835211147e-12      -1.071944197613e-14 
   88       3.087490718772e-10       7.810730005741e-14      -2.027373259134e-12       0.000000000000e+00       1.501422295736e-11       2.005674175733e-12      -1.077338309714e-14 
   89       3.124814311572e-10       8.014760046232e-14      -2.108704567644e-12       0.000000000000e+00       1.459081006670e-11       1.958208023222e-12      -1.065544266864e-14 
   90       3.162476080279e-10       8.218929917068e-14      -2.191008411383e-12       0.000000000000e+00       1.418269200395e-11       1.911756301451e-12      -1.040485272268e-14 
   91       3.200461984681e-10       8.423196893485e-14      -2.274247754391e-12       0.000000000000e+00       1.378918154172e-11       1.866898217153e-12      -1.011124938266e-14 
   92       3.238756521290e-10       8.627499676526e-14      -2.358374321910e-12       0.000000000000e+00       1.340950967079e-11       1.824097701412e-12      -9.851920785796e-15 
   93       3.277349307248e-10       8.831674738150e-14      -2.443294900063e-12       0.000000000000e+00       1.304322973947e-11       1.783222628919e-12      -9.626101291733e-15 
   94       3.316229246373e-10       9.035527824310e-14      -2.528899943400e-12       0.000000000000e+00       1.268986102789e-11       1.743953681821e-12      -9.411077556394e-15 
   95       3.355382393387e-10       9.238859250235e-14      -2.615073626456e-12       0.000000000000e+00       1.234875882717e-11       1.705928267379e-12      -9.182017659983e-15 
   96       3.394796975204e-10       9.441444488069e-14      -2.701697380851e-12       0.000000000000e+00       1.201922894882e-11       1.668826723818e-12      -8.919582312052e-15 
   97       3.434479526700e-10       9.642972771274e-14      -2.788661357584e-12       0.000000000000e+00       1.170090280160e-11       1.632648173984e-12      -8.634151869178e-15 
   98       3.474440918906e-10       9.843099425807e-14      -2.875854421045e-12       0.000000000000e+00       1.139340662701e-11       1.597472649234e-12      -8.345043409045e-15 
   99       3.514691397337e-10       1.004146416692e-13      -2.963160567710e-12       0.000000000000e+00       1.109624196798e-11       1.563376954396e-12      -8.073197681158e-15 
  100       3.555237014240e-10       1.023774694023e-13      -3.050478013152e-12       0.000000000000e+00       1.080886960121e-11       1.530418208396e-12      -7.836575505391e-15 
  101       3.596068445997e-10       1.043184499558e-13      -3.137779665844e-12       0.000000000000e+00       1.053098384127e-11       1.498582255921e-12      -7.635521413001e-15 
  102       3.637170520990e-10       1.062372023845e-13      -3.225061039325e-12       0.000000000000e+00       1.026226908159e-11       1.467827620987e-12      -7.465413849594e-15 
  103       3.678525521832e-10       1.081334569703e-13      -3.312322000766e-12       0.000000000000e+00       1.000231197678e-11       1.438100740288e-12      -7.321112945769e-15 
  104       3.720117258208e-10       1.100066867278e-13      -3.399549522382e-12       0.000000000000e+00       9.750668815131e-12       1.409332356779e-12      -7.197492626459e-15 
  105       3.761944093455e-10       1.118549370093e-13      -3.486662950147e-12       0.000000000000e+00       9.507084797857e-12       1.381426983817e-12      -7.091148938498e-15 
  106       3.804007528830e-10       1.136758441758e-13      -3.573561594532e-12       0.000000000000e+00       9.271298636191e-12       1.354271285599e-12      -6.998897482458e-15 
  107       3.846308165458e-10       1.154669935179e-13      -3.660141436266e-12       0.000000000000e+00       9.042972316516e-12       1.327736747881e-12      -6.917240024292e-15 
  108       3.888844135396e-10       1.172260220052e-13      -3.746302593266e-12       0.000000000000e+00       8.821744367317e-12       1.301722511325e-12      -6.842944572726e-15 
  109       3.931606245190e-10       1.189509423486e-13      -3.831972907445e-12       0.000000000000e+00       8.607402665309e-12       1.276291129202e-12      -6.774888714387e-15 
  110       3.974582124682e-10       1.206398608338e-13      -3.917087375249e-12       0.000000000000e+00       8.399729794606e-12       1.251549782626e-12      -6.712442577860e-15 
  111       4.017757647340e-10       1.222908788360e-13      -4.001580957032e-12       0.000000000000e+00       8.198447618485e-12       1.227608619172e-12      -6.654900249715e-15 
  112       4.061119598408e-10       1.239021608333e-13      -4.085388381243e-12       0.000000000000e+00       8.003258417358e-12       1.204534976296e-12      -6.600801340372e-15 
  113       4.104664176582e-10       1.254721465009e-13      -4.168443444703e-12       0.000000000000e+00       7.813978065250e-12       1.182209476895e-12      -6.545803040282e-15 
  114       4.148389465108e-10       1.269993668694e-13      -4.250679697637e-12       0.000000000000e+00       7.630416283623e-12       1.160451781085e-12      -6.484535441532e-15 
  115       4.192292777062e-10       1.284823808693e-13      -4.332030707659e-12       0.000000000000e+00       7.452333797588e-12       1.139064347667e-12      -6.411245727833e-15 
  116       4.236369420452e-10       1.299197505658e-13      -4.412428309163e-12       0.000000000000e+00       7.279480653224e-12       1.117887730360e-12      -6.321862765254e-15 
  117       4.280608883826e-10       1.313099604275e-13      -4.491797030668e-12       0.000000000000e+00       7.111719460798e-12       1.096974986750e-12      -6.220493625653e-15 
  118       4.324998131514e-10       1.326514908499e-13      -4.570059056490e-12       0.000000000000e+00       6.948914564911e-12       1.076437788360e-12      -6.113704801794e-15 
  119       4.369522730089e-10       1.339428446238e-13      -4.647135974926e-12       0.000000000000e+00       6.790892618429e-12       1.056392678013e-12      -6.008529691784e-15 
